"100074","39.43288","-8.19649","39.43288, -8.19649","TRUE","FALSE","2248"
"100075","39.00787","-8.7686","39.00787, -8.7686","TRUE","FALSE","2277"
"100076","38.7755","-8.88352","38.7755, -8.88352","TRUE","FALSE","2299"
"100077","38.67249","-8.86252","38.67249, -8.86252","FALSE","FALSE","2299"
"100078","39.26958","-8.49183","39.26958, -8.49183","FALSE","FALSE","2299"
"100079","39.1837","-8.45003","39.1837, -8.45003","FALSE","FALSE","2299"
"100080","38.83699","-9.17039","38.83699, -9.17039","TRUE","FALSE","2316"
"100081","39.15838","-8.67416","39.15838, -8.67416","TRUE","FALSE","2323"
"100083","39.44026","-8.50449","39.44026, -8.50449","TRUE","FALSE","2350"
"100084","39.01218","-8.73646","39.01218, -8.73646","TRUE","FALSE","2366"
"100085","39.02071","-8.8078","39.02071, -8.8078","TRUE","FALSE","2427"
"100086","39.04953","-8.7454","39.04953, -8.7454","FALSE","FALSE","2427"
"100087","39.19861","-8.61556","39.19861, -8.61556","TRUE","FALSE","2507"
"100088","39.44479","-8.18935","39.44479, -8.18935","TRUE","FALSE","2516"
"100089","39.29169","-8.83874","39.29169, -8.83874","TRUE","FALSE","2540"
"100090","39.16069","-8.66975","39.16069, -8.66975","TRUE","FALSE","2597"
"100091","39.10504","-8.74044","39.10504, -8.74044","TRUE","FALSE","2611"
"100092","37.89933","-8.35937","37.89933, -8.35937","TRUE","FALSE","266"
"100093","39.04633","-8.68717","39.04633, -8.68717","TRUE","FALSE","2707"
"100094","39.105","-8.74034","39.105, -8.74034","TRUE","FALSE","2747"
"100095","39.35096","-8.13739","39.35096, -8.13739","TRUE","FALSE","2758"
"100096","39.02077","-8.78009","39.02077, -8.78009","TRUE","FALSE","2793"
"100097","39.44471","-8.39865","39.44471, -8.39865","TRUE","FALSE","2800"
"100098","38.81934","-8.89691","38.81934, -8.89691","TRUE","FALSE","2844"
"100099","38.99206","-8.72754","38.99206, -8.72754","FALSE","FALSE","2844"
"100100","38.99585","-8.6965","38.99585, -8.6965","FALSE","FALSE","2844"
"100101","38.88281","-8.88168","38.88281, -8.88168","TRUE","FALSE","2848"
"100102","38.22819","-8.52874","38.22819, -8.52874","FALSE","FALSE","2848"
"100103","39.02082","-8.79286","39.02082, -8.79286","FALSE","FALSE","2848"
"100104","39.04491","-8.73739","39.04491, -8.73739","TRUE","FALSE","2865"
"100105","39.04069","-8.79984","39.04069, -8.79984","TRUE","FALSE","2950"
"100106","38.99731","-8.74617","38.99731, -8.74617","TRUE","FALSE","2951"
"100109","38.97171","-8.68049","38.97171, -8.68049","FALSE","FALSE","2951"
"100111","39.24904","-8.69722","39.24904, -8.69722","TRUE","FALSE","3100"
"100112","39.35011","-8.48993","39.35011, -8.48993","TRUE","FALSE","3193"
"100113","39.48157","-8.18759","39.48157, -8.18759","TRUE","FALSE","3356"
"100114","39.48318","-8.17186","39.48318, -8.17186","TRUE","FALSE","3410"
"100115","39.46684","-8.31702","39.46684, -8.31702","TRUE","FALSE","3495"
"100116","39.46059","-8.31239","39.46059, -8.31239","FALSE","FALSE","3495"
"100117","39.07741","-8.7673","39.07741, -8.7673","FALSE","FALSE","3495"
"100118","39.1325","-8.53387","39.1325, -8.53387","TRUE","FALSE","3502"
"100119","39.42094","-8.18014","39.42094, -8.18014","TRUE","FALSE","3520"
"100120","39.20407","-8.75077","39.20407, -8.75077","TRUE","FALSE","3534"
"100121","39.50281","-8.16412","39.50281, -8.16412","TRUE","FALSE","3546"
"100122","39.01732","-8.7301","39.01732, -8.7301","TRUE","FALSE","3577"
"100123","38.86389","-9.13479","38.86389, -9.13479","TRUE","FALSE","3619"
"100124","38.84147","-9.12974","38.84147, -9.12974","FALSE","FALSE","3619"
