"113","PARREIRA","2140 CHAMUSCA"
"114","ALMEIRIM","2080 ALMEIRIM"
"115","TREMEZ","2025 ALCANEDE"
"116","FOROS DE BENFICA","2080 BENFICA DO RIBATEJO"
"117","ALMEIRIM","2080 ALMEIRIM"
"118","ALMEIRIM","2080 ALMEIRIM"
"119","FRADE DE BAIXO","2090 ALPIARCA"
"120","ALMEIRIM","2080 ALMEIRIM"
"121","ALMEIRIM","2080 ALMEIRIM"
"123","LOTE 20","2000 SANTAREM"
"124","ALPIARCA","2090 ALPIARCA"
"125","FRADE DE CIMA","2090 ALPIARCA"
"126","ALMEIRIM","2080 ALMEIRIM"
"127","ABITUREIRAS","2000 SANTAREM"
"128","ALMEIRIM","2080 ALMEIRIM"
"129","AZOIA DE BAIXO","2000 SANTAREM"
"130","VALE DE FIGUEIRA","2000 SANTAREM"
"131","VALE FIGUEIRA","2000-SANTAREM"
"133","ALMEIRIM","2080 ALMEIRIM"
"134","MUGE","2125 MARINHAIS"
"135","FRADE DE BAIXO","2090-216 ALPIARCA"
"136","FRADE DE CIMA","2090 ALPIARCA"
"137","-","-"
"138","ACHETE","2000 SANTAREM"
"139","SANTAREM","2000 SANTAREM"
"140","FRADE DE BAIXO","2090 ALPIARCA"
"141","ALMEIRIM","2080 ALMEIRIM"
"142","SANTAREM","2000 SANTAREM"
"143","RIO MAIOR","2040 RIO MAIOR"
"144","FRADE DE BAIXO","2090 ALPIRACA"
"145","ALPIARCA","2090 ALPIARCA"
"146","ALMEIRIM","2080 ALMEIRIM"
"147","SANTAREM","2000 SANTAREM"
"148","ALMEIRIM","2080 ALMEIRIM"
"149","FRADE DE BAIXO","2090 ALPIARCA"
"150","ALMEIRIM","2080 ALMEIRIM"
"152","-","-"
"153","ALPIARCA","2090 ALPIARCA"
"154","ALMEIRIM","2080 ALMEIRIM"
"155","ALMEIRIM","2080 ALMEIRIM"
"156","PACO DOS NEGROS","2080-640 FAZENDAS DE ALMEIRIM"
"157","FAZENDAS DE ALMEIRIM","2080 FAZENDAS DE ALMEIRIM"
"158","CORTICOIS","2080 ALMEIRIM"
"159","SANTAREM","2000 SANTAREM"
"160","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"161","LAMAROSA","2100 CORUCHE"
"162","ALMEIRIM","2080 ALMEIRIM"
"163","ALMEIRIM","2000-086 ALMEIRIM"
"164","AMIAIS DE BAIXO","2025 ALCANEDE"
"165","ALPIARCA","2090 ALPIARCA"
"166","ALMEIRIM","2080 ALMEIRIM"
"167","ALMEIRIM","2080 ALMEIRIM"
"168","ALCANHOES","2000 SANTAREM"
"169","VERDELHO","2000 SANTAREM"
"170","ALMEIRIM","2080 ALMEIRIM"
"171","VALE DE SANTAREM","2000 SANTAREM"
"172","ALPIARCA","2090 ALPIARCA"
"173","ALMEIRIM","2080 ALMEIRIM"
"174","ALMEIRIM","2080 ALMEIRIM"
"175","-","-"
"176","FRADE DE BAIXO","2090 ALPIARCA"
"177","ALMEIRIM","2080 ALMEIRIM"
"178","VARZEA FRESCA","2120-183 SALVATERRA DE MAGOS"
"179","RIBEIRA DE SANTAREM","2000 SANTAREM"
"180","ALMEIRIM","2080 ALMEIRIM"
"181","FOROS DE BENFICA","2080 BENFICA DO RIBATEJO"
"182","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"183","APARTADO 20","2090-091 ALPIARCA"
"186","ALCANEDE","2025 ALCANEDE"
"187","-","2000 SANTAREM"
"188","ALMEIRIM","2080 ALMEIRIM"
"189","ALPIARCA","2090 ALPIARCA"
"190","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"191","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"192","-","2800-122 ALMADA"
"193","ALMEIRIM","2080 ALMEIRIM"
"194","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"195","ALMEIRIM","2080 ALMEIRIM"
"196","AZERVEIRA","2100 CORUCHE"
"197","ALMEIRIM","2080 ALMEIRIM"
"198","ALPIARCA","2090 ALPIARCA"
"199","ALMEIRIM","2080 ALMEIRIM"
"200","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"202","RUA PAULINO DA CUNHA E SILVA 24","ALCANHOES 2000-369 SANTAREM"
"203","VALE DAS MOS","2200 ABRANTES"
"204","ALMEIRIM","2080 ALMEIRIM"
"205","ALPIARCA","2090 ALPIARCA"
"206","ALMEIRIM","2080 ALMEIRIM"
"207","MUGE","2125 MUGE"
"208","ESPINHEIRO","2025 ALCANEDE"
"209","FOROS DE SALVATERRA","2120 SALVATERRA DE MAGOS"
"210","ALMEIRIM","2080 ALMEIRIM"
"211","-","-"
"212","VALADA","2070 CARTAXO"
"213","CASAL PIMENTEL","2089 SANTAREM"
"214","-","2080-060 ALMEIRIM"
"216","ALMEIRIM","2080 ALMERIM"
"218","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"219","ALMEIRIM","2080 ALMEIRIM"
"220","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"221","ALMEIRIM","2080 ALMEIRIM"
"222","ABITUREIRAS","2000 SANTAREM"
"223","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"224","ADVAGAR","2000 SANTAREM"
"225","ALMEIRIM","2080 ALMEIRIM"
"226","ALMEIRIM","2080 ALMEIRIM"
"227","ALMEIRIM","2080 ALMEIRIM"
"228","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"229","SESIMBRA","2970-340 SESIMBRA"
"230","S.VICENTE DE PAUL","2000-700 S.VICENTE DO PAUL"
"231","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"232","FRADE DE BAIXO","2090 ALPIARCA"
"233","ALTO BEXIGA","2000 SANTAREM"
"234","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"235","CHOUTO","2140  CHAMUSCA"
"236","SANTAREM","2000 SANTAREM"
"237","ACHETE","2000 SANTAREM"
"238","ALCANHOES","2000-376 SANTAREM"
"239","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"240","ACHETE","200-326 ACHETE"
"241","AZAMBUJA","2050 AZAMBUJA"
"242","APARTADO 9","2080-107 ALMEIRIM"
"243","AZAMBUJA","2050-328 AZAMBUJA"
"244","-","1500-075 LISBOA"
"245","PARREIRA","2140 CHAMUSCA"
"246","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"247","-","-"
"248","POMBALINHO","2150 SANTAREM"
"249","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"250","ALMEIRIM","2080 ALMEIRIM"
"251","ALPIARCA","2090 ALPIARCA"
"252","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"253","ALMEIRIM","2080 ALMEIRIM"
"254","ALMEIRIM","2080 ALMEIRIM"
"255","MALAQUEIJO","2040 RIO MAIOR"
"256","ULME","2140-380 ULME"
"257","BENFICA DO RIBATEJO","2080 ALMEIRIM"
"258","ALMEIRIM","2080 ALMEIRIM"
"259","ALMEIRIM","2080-501 ALMEIRIM"
"260","CASEVEL","2000-467 CASAVEL STR"
"261","CARTAXO","2070-056 CARTAXO"
"262","MARINHAIS","2125 MARINHAIS"
"263","FAZENDAS DE ALMEIRIM","2080 ALMEIRIM"
"264","ALMEIRIM","2080 ALMEIRIM"
"265","-","-"
"266","SANTAREM","2000 SANTAREM"
"268","SANTAREM","2000 SANTAREM"
"269","ALMEIRIM","2080 ALMEIRIM"
"270","ALPIARCA","2090 ALPIARCA"
"271","ALMEIRIM","2080 ALMEIRIM"
"272","ALMEIRIM","2080 ALMEIRIM"
