"12101","EKYP COMBI  200 GR","200","GR"
"12102","EKYP COMBI  25 KG","25","KG"
"12105","EKYP TRIO AZUL  5 KG","5","KG"
"12106","FORUM C  300 GR","300","GR"
"12109","STROBY WG  200 G",NULL,NULL
"12120","DANADIM PROGRESS  20 LT","20","LT"
"12124","FUJI  20 LT","20","LT"
"12125","DANADIM PROGRESS 5 LT","5","LT"
"12127","DANADIM PROGRESS  1 LT","1","LT"
"12128","DANADIM PROGRESS  100 ML","100","ML"
"12132","PYRINEX 48 EC  20 LT","20","LT"
"12135","KOHINOR 20 SL  5 LT","5","LT"
"12137","CODACIDE OIL  5 LT","5","LT"
"12140","Glitz super 5L","5","L"
"12143","BOREAL  1 L","1","L"
"12146","ULTRAFERRO  CX. 4X5 KG - 20KG","5","KG"
"12175","VITIPEC WG ADVANCE  150 GR","150","GR"
"12176","VITIPEC WG ADVANCE  15 KG","15","KG"
"12181","SOLUBOR DF  25 KG","25","KG"
"12201","LIMATEX  1 KG","1","KG"
"12203","Zarpa     5LT","5","LT"
"12211","FUEGO SAPEC  1 L","1","L"
"12212","VITIPEC C  25 KG","25","KG"
"12214","FUEGO SAPEC  5 LT","5","LT"
"12216","FUEGO SAPEC  20 LT","20","LT"
"12221","VITIPEC GOLD WG ADVANCE  300 GR","300","GR"
"12223","KAOS  1 LT","1","LT"
"12224","KAOS  5 LT","5","LT"
"12225","KAOS  20 LT","20","LT"
"12226","VITIPEC GOLD WG ADVANCE  6 KG","6","KG"
"12242","LADDOK PLUS  5LT","5","LT"
"12245","CABRIO TOP  1 KG","1","KG"
"12246","SPECTRUM  5 LT",NULL,"UN"
"12289","MANCOZEBE SAPEC  200 GR",NULL,"UN"
"12291","MANCOZEBE SAPEC  25 KG",NULL,"UN"
"12324","MAESTRO M  12 KG",NULL,"UN"
"12325","MAESTRO M  400 GR",NULL,"UN"
"12410","FOLPEC 50  200 GR",NULL,"UN"
"12411","FOLPEC 50  15 KG",NULL,"UN"
"12420","MAESTRO F WG ADVANCE  300 GR",NULL,"UN"
"12421","MAESTRO F  300 GR",NULL,"UN"
"12423","MAESTRO F WG ADVANCE  12 KG",NULL,"UN"
"12424","ENIGMA  1 LT",NULL,"UN"
"12425","DOURO  1 LT",NULL,"UN"
"12426","CUPRITAL  25 KG",NULL,"UN"
"12428","CURENOX 50  25 KG","25","KG"
"12436","CUPRITAL  5 KG","5","KG"
"12437","CUPRITAL SC  5 L",NULL,"UN"
"12464","NUTREA 12-4-6  1 LT",NULL,"UN"
"12491","GRANSTAR 50 SX  150 GR",NULL,"UN"
"12500","VIVANDO  1 LT",NULL,"UN"
"12502","LOUSAL  20 LT",NULL,"UN"
"12538","JUDO COMBI  100 ML",NULL,"UN"
"12539","JUDO COMBI  5 LT",NULL,"UN"
"12540","JUDO  1 LT",NULL,"UN"
"12541","JUDO  5 LT",NULL,"UN"
"12542","JUDO  25 ML",NULL,"UN"
"12710","MAGIC  150 ML",NULL,"UN"
"12711","MAGIC  1 LT","1","LT"
"12712","CERIMONIA  5 L","5","L"
"18091","UNIAO 3' METAL PP",NULL,"UN"
"18303","FILTRO REGA ITAL 3'",NULL,"UN"
"18308","MANGA VERDE 3' P/FILTRO ITAL",NULL,"UN"
"18311","FILTRO PD 3' SUPER 120 MESH 40M3/H",NULL,"UN"
"18452","FITA REGA T-TAPE 6 30X30 ROLO 3050",NULL,"UN"
"18455","FITA REGA T-TAPE 5 20X20 ROLO 3658",NULL,"UN"
"20001","AD. PROFERTIL  1000 LT","1000","LT"
"20012","AD. TECNIFERTI 0.0.12",NULL,NULL
"20040","AD. KORN KALI  50 KG","50","KG"
"20087","AD. STARCAL  25 KG","25","KG"
"20089","AD. CALFENSA OXIGRAN MAG  500 KG","500","KG"
"20102","AD. YARA MILA COMPLEX 12-11-18 600K",NULL,NULL
"21086","AD. NUTRIFLUID 10.8.6",NULL,NULL
"21115","AD. 111 10-10-10  5 KG","5","KG"
"21246","AD. TECNIFERTI 12-4-6",NULL,NULL
"21266","AD. NUTRIFLUID 12.6.6 C/ AA",NULL,NULL
"22020","AD. YARA UNIKA CALCIUM  25 KG","25","KG"
"22034","AD. NUTRIFLUID 20.3.4",NULL,NULL
"22044","AD. TECNIFERTI 20-4-4",NULL,NULL
"22214","AD. TECNIFERTI 2-4-14",NULL,NULL
"22621","SPINTOR 480 SC  25 ML","25","ML"
"22625","AD. ENTEC 26  25 KG","25","KG"
"23030","AD. TECNIFOL BRIX 3.0.30  20L","20","L"
"24000","AD. DEIBAMID 40-0-0  40 KG","40","KG"
"24131","AD. CORBIGRAN + Mg  30 KG","30","KG"
"24412","AD. NUTRIFLUID 4.4.12",NULL,NULL
"24812","AD. TECNIFERTI 4-8-12",NULL,NULL
"25155","AD. NUTRIFLUID 5.15.5  KG",NULL,NULL
"26159","AD. NUTRIFLUID 6.15.9",NULL,NULL
"26312","AD. TECNIFERTI 6.3.12",NULL,NULL
"28280","AD. PHYSIOSTART 8-28-0  25 KG","25","KG"
"28412","AD. TECNIFERTI 8-4-12",NULL,NULL
"28553","AD. TECNIFOL AMINOACIDOS  5 LT","5","LT"
"28600","AD. NUTRIFLUID 8,6.0.0+15%CAO",NULL,NULL
"31019","AZEVEM ANUAL LIQUATTRO 25 KG","25","KG"
"31035","MILHO HIB. NK PERFORM FORCE 15MK",NULL,NULL
"31080","NABO RUBIN  100 GR",NULL,"UN"
"31087","NABO ROXO VILMORIN  1 KG",NULL,"UN"
"31096","FAVA RATINHA",NULL,"KG"
"31109","CENOURA SOPRANO 1.6/1.8 500.000S",NULL,"UN"
"31223","MILHO HIB. HYDRO FORCE TRD 50KS",NULL,"UN"
"31234","MILHO HIB. MIAMI TRD 50KS",NULL,"UN"
"31341","MILHO HIB. SY OKLAND FORCE 15MK",NULL,"UN"
"31355","TRIGO MOLE VALBONA  40 KG",NULL,"UN"
"31356","TRIGO MOLE MANE NICK 40 KG",NULL,"UN"
"31365","TRIGO MOLE EXOTIC R2  40 KG",NULL,"UN"
"31368","TRIGO MOLE HIB.HYBIZA DOSE",NULL,"UN"
"31369","TRIGO MOLE CAMARGO R2 40 KG",NULL,"UN"
"31385","TRIGO MOLE NOGAL  40 KG",NULL,"UN"
"31395","TRIGO MOLE ANTEQUERA R2 40 KG",NULL,"UN"
"31427","MELOA GALIA F1 1000 SEM.",NULL,"UN"
"31430","AVEIA FORRAGEIRA  30 KG",NULL,"UN"
"31456","COLZA DK EXPERTISE 1500M",NULL,"UN"
"31566","TRITICALE AMARILLO R2  40 KG",NULL,"UN"
"31570","CEVADA SHAKIRA R2  40 KG",NULL,"UN"
"31571","CEVADA FORRAGEIRA  KG",NULL,"KG"
"31573","AZEVEM ANUAL AGRACO  25 KG",NULL,"UN"
"31575","CEVADA PUBLICAN  40 KG",NULL,"UN"
"31733","MILHO HIB. BELGRANO 15000 MK",NULL,"UN"
"32019","AVEIA CERTIFICADA EDELPRINZ R2 30KG",NULL,"UN"
"32097","RACAO AVENAL ALTA ENERGIA 20KG",NULL,"UN"
"32099","RACAO AVENAL CAT CARNE 20KG",NULL,"UN"
"32100","RACAO FLUFFY ENERGY 20 KG",NULL,"UN"
"32101","RACAO AVENAL DOG MIX 20KG",NULL,"UN"
"32102","RACAO AVENAL ACTIVE 20KG",NULL,"UN"
"32103","RACAO FLUFFY JUNIOR 20KG",NULL,"UN"
"32120","MILHO GRAO KG.",NULL,"KG"
"36120","PALHA RAFIA 'FLORISTA'",NULL,"KG"
"48046","SACO BIG BAG P/AVEIA (REUTIL.)",NULL,"UN"
"48120","HELICE VINHA 120 - FURO RASGADO",NULL,"UN"
"48214","RET WIN PLUS  5 LT",NULL,"UN"
"48216","RET SUL  5 LT",NULL,"UN"
"48218","CUPRI-BAC  5 LT",NULL,"UN"
"48219","RET-B  5 LT",NULL,"UN"
"58101","NUTREA 5-8-10  1 LT",NULL,"UN"
"58105","NUTREA 5-8-10  5 LT",NULL,"UN"
"61600","ORIUS 20 EW  1 LT",NULL,"UN"
"61601","ORIUS 20 EW  20 LT",NULL,"UN"
"64452","EPIK SG  5 KG",NULL,"UN"
"64453","EPIK SG  250 GR",NULL,"UN"
"64454","EPIK SG  25 GR",NULL,"UN"
"64456","NISSORUN  50 GR",NULL,"UN"
"64457","DINAMITE  1 L",NULL,"UN"
"64463","EPIK SG  1 KG",NULL,"UN"
"66016","GROWEL 3-0-16 + 68% M.O.  5 Kg",NULL,"UN"
"66019","COBRE NORDOX SUPER 75 WG  5 KG",NULL,"UN"
"66031","GASTOXIN TUBO 30 PASTILHAS",NULL,"UN"
"66071","PULL 52  100 GR",NULL,"UN"
"66100","RATOL PELLETS  200 GR",NULL,"UN"
"66112","RATAK 40  200 GR",NULL,"UN"
"66121","ARMETIL M  5 KG",NULL,"UN"
"66129","PHYTNET  5 LT",NULL,"UN"
"66141","FOLPAN 80 WG  5 KG",NULL,"UN"
"66184","EMINENT 125  1 LT",NULL,"UN"
"66185","EMINENT 125  5 LT",NULL,"UN"
"66217","BASE ARMADILHA DELTA",NULL,"UN"
"66223","LOBESIA BOTRANA (FEROMONAS)",NULL,"UN"
"66224","PLUTELLA XILOSTELLA (FEROMONAS)",NULL,"UN"
"66227","HELIOTHIS ARMIGERA (FEROMONAS)",NULL,"UN"
"66228","PASTILHAS VAPONA",NULL,"UN"
"66240","ECLIPSE 70 WG  500 GR",NULL,"UN"
"66252","ENXOFRE BRUTO  25 KG",NULL,"UN"
"66253","ENXOFRE PO DÔOURO  25 KG",NULL,"UN"
"66254","ENXOFRE DIAMANTE AMARELO  25 KG",NULL,"UN"
"66332","STAM NOVEL FLO 480  20 LT",NULL,"UN"
"66341","STEWARD  500 GR",NULL,"UN"
"66352","LIMACIDE  1 KG",NULL,"UN"
"66361","SPRAY PH IDEAL  1 LT",NULL,"UN"
"66420","INO GREEN N  10 LT",NULL,"UN"
"66424","SUPERCAID  200 GR",NULL,"UN"
"66430","INO GREEN ULTRA  10 L",NULL,"UN"
"66431","INO GREEN ULTRA  1 L",NULL,"UN"
"66440","INO ALG FLOR  10 L",NULL,"UN"
"66442","WELGRO BORO DF  5 KG",NULL,"UN"
"66460","INO MIX SUC  10 L",NULL,"UN"
"66463","INO ACTIV  10 L",NULL,"UN"
"66524","COLLIS  40 ML",NULL,"UN"
"66525","COLLIS  1 LT",NULL,"UN"
"66526","ARITHANE  1 LT",NULL,"UN"
"66527","VIPER  5 L",NULL,"UN"
"66528","ARITHANE  5 LT",NULL,"UN"
"66529","CERIDOR 20 LT",NULL,"UN"
"66551","SEQURA  500 GR",NULL,"UN"
"66552","SEQURA  50 GR",NULL,"UN"
"66582","LI 700  5 L",NULL,"UN"
"66583","STICMAN  1 L",NULL,"UN"
"66602","FAINAL K  20 LT",NULL,"UN"
"66613","MILTRIPLO  5 KG",NULL,"UN"
"66614","FAINAL K  1000 LT",NULL,"UN"
"66645","ESCARAVELHO PALMEIRA (FEROMONAS)",NULL,"UN"
