"102E15-91","Car_Des","15/06/2015",NULL,NULL,"06142"
"102E15-92","Car_Des","13/01/2015",NULL,NULL,"07462"
"102Q15","Car_Des","13/01/2015",NULL,NULL,"07698"
"1030Q15","Car_Des","31/03/2015",NULL,NULL,"04865"
"1031Q15","Car_Des","31/03/2015",NULL,NULL,"07385"
"1032Q15","Car_Des","31/03/2015",NULL,NULL,"00092"
"1033Q15","Car_Des","31/03/2015",NULL,NULL,"08486"
"1034E15","Encomendas","17/03/2015","1","UN","07603"
"1034Q15","Car_Des","31/03/2015",NULL,NULL,"05253"
"1035Q15","Car_Des","31/03/2015",NULL,NULL,"00887"
"1036E15","Car_Des","17/03/2015",NULL,NULL,"02247"
"1036Q15","Car_Des","31/03/2015",NULL,NULL,"04841"
"1037C15","Car_Des","02/03/2015",NULL,NULL,"06561"
"1037E15","Encomendas","17/03/2015","1","UN","07698"
"1037Q15","Car_Des","31/03/2015",NULL,NULL,"01969"
"1038C15","Encomendas","02/03/2015","2","UN","07503"
"1038C15-107","Encomendas","02/03/2015","4","UN","07503"
"1038C15-108","Encomendas","02/03/2015","4","UN","07503"
"1038C15-109","Encomendas","02/03/2015","4","UN","07503"
"1038Q15","Car_Des","31/03/2015",NULL,NULL,"06518"
"1039C15","Encomendas","02/03/2015","50","UN","06799"
"1039Q15","Car_Des","31/03/2015",NULL,NULL,"07509"
"103C15","Car_Des","08/01/2015",NULL,NULL,"01146"
"103C15-114","Car_Des","11/06/2015",NULL,NULL,"03830"
"103E15","Encomendas","13/01/2015","1","UN","07357"
"103E15-116","Encomendas","13/01/2015","2","UN","07357"
"103E15-117","Car_Des","15/06/2015",NULL,NULL,"05155"
"103E15-118","Car_Des","13/01/2015",NULL,NULL,"07357"
"103Q15","Car_Des","13/01/2015",NULL,NULL,"07698"
"1040Q15","Car_Des","31/03/2015",NULL,NULL,"08254"
"1041C15","Encomendas","02/03/2015","36","UN","03356"
"1041Q15","Car_Des","31/03/2015",NULL,NULL,"08254"
"1042C15","Encomendas","02/03/2015","28","UN","07408"
"1042C15-124","Encomendas","02/03/2015","6","UN","07408"
"1042C15-125","Encomendas","02/03/2015","5","UN","07408"
"1042E15","Encomendas","17/03/2015","3","UN","04116"
"1042E15-127","Encomendas","17/03/2015","1","UN","04116"
"1043C15","Encomendas","02/03/2015","2","UN","07503"
"1043C15-129","Encomendas","02/03/2015","1","UN","07503"
